frame,time,work_time,bp_reps,ll_reps,rl_reps,s_reps
1,0.033333,0,0,0,0,0
2,0.066667,0,0,0,0,0
3,0.1,0,0,0,0,0
4,0.13333,0,0,0,0,0
5,0.16667,0,0,0,0,0
6,0.2,0,0,0,0,0
7,0.23333,0,0,0,0,0
8,0.26667,0,0,0,0,0
9,0.3,0,0,0,0,0
10,0.33333,0,0,0,0,0
11,0.36667,0,0,0,0,0
12,0.4,0,0,0,0,0
13,0.43333,0,0,0,0,0
14,0.46667,0,0,0,0,0
15,0.5,0,0,0,0,0
16,0.53333,0,0,0,0,0
17,0.56667,0,0,0,0,0
18,0.6,0,0,0,0,0
19,0.63333,0,0,0,0,0
20,0.66667,0,0,0,0,0
21,0.7,0,0,0,0,0
22,0.73333,0,0,0,0,0
23,0.76667,0,0,0,0,0
24,0.8,0,0,0,0,0
25,0.83333,0,0,0,0,0
26,0.86667,0,0,0,0,0
27,0.9,0,0,0,0,0
28,0.93333,0,0,0,0,0
29,0.96667,0,0,0,0,0
30,1,0,0,0,0,0
31,1.0333,0,0,0,0,0
32,1.0667,0,0,0,0,0
33,1.1,0,0,0,0,0
34,1.1333,0,0,0,0,0
35,1.1667,0,0,0,0,0
36,1.2,0,0,0,0,0
37,1.2333,0,0,0,0,0
38,1.2667,0,0,0,0,0
39,1.3,0,0,0,0,0
40,1.3333,0,0,0,0,0
41,1.3667,0,0,0,0,0
42,1.4,0,0,0,0,0
43,1.4333,0,0,0,0,0
44,1.4667,0,0,0,0,0
45,1.5,0,0,0,0,0
46,1.5333,0,0,0,0,0
47,1.5667,0,0,0,0,0
48,1.6,0,0,0,0,0
49,1.6333,0,0,0,0,0
50,1.6667,0,0,0,0,0
51,1.7,0,0,0,0,0
52,1.7333,0,0,0,0,0
53,1.7667,0,0,0,0,0
54,1.8,0,0,0,0,0
55,1.8333,0,0,0,0,0
56,1.8667,0,0,0,0,0
57,1.9,0,0,0,0,0
58,1.9333,0,0,0,0,0
59,1.9667,0,0,0,0,0
60,2,0,0,0,0,0
61,2.0333,0,0,0,0,0
62,2.0667,0,0,0,0,0
63,2.1,0,0,0,0,0
64,2.1333,0,0,0,0,0
65,2.1667,0,0,0,0,0
66,2.2,0,0,0,0,0
67,2.2333,0,0,0,0,0
68,2.2667,0,0,0,0,0
69,2.3,0,0,0,0,0
70,2.3333,0,0,0,0,0
71,2.3667,0,0,0,0,0
72,2.4,0,0,0,0,0
73,2.4333,0,0,0,0,0
74,2.4667,0,0,0,0,0
75,2.5,0,0,0,0,0
76,2.5333,0,0,0,0,0
77,2.5667,0,0,0,0,0
78,2.6,0,0,0,0,0
79,2.6333,0,0,0,0,0
80,2.6667,0,0,0,0,0
81,2.7,0,0,0,0,0
82,2.7333,0,0,0,0,0
83,2.7667,0,0,0,0,0
84,2.8,0,0,0,0,0
85,2.8333,0,0,0,0,0
86,2.8667,0,0,0,0,0
87,2.9,0,0,0,0,0
88,2.9333,0,0,0,0,0
